productId,productName,price,quantity,categoryId,categoryName,description
1,딸기,5000,50,1,국산과일,신선하고 달콤한 국산 딸기
2,포도,6000,40,1,국산과일,씨 없는 맛있는 국산 포도
3,수박,15000,30,1,국산과일,여름철 최고의 수박
4,귤,4000,60,1,국산과일,비타민이 풍부한 국산 귤
5,배,7000,35,1,국산과일,아삭한 식감의 국산 배
6,바나나,3000,80,2,수입과일,영양가 풍부한 수입 바나나
7,파인애플,8000,25,2,수입과일,달콤한 맛의 수입 파인애플
8,망고,9000,20,2,수입과일,과일의 왕 수입 망고
9,블루베리,12000,15,2,수입과일,항산화 성분이 풍부한 블루베리
10,키위,6000,45,2,수입과일,상큼한 맛의 뉴질랜드 키위
11,딸기잼,8000,50,3,간편과일,간편하게 즐기는 딸기잼
12,포도주스,6000,60,3,간편과일,100% 포도 농축액 주스
13,수박주스,5000,70,3,간편과일,상큼한 수박 주스
14,귤통조림,7000,40,3,간편과일,편하게 먹는 귤 통조림
15,배컴포트,9000,30,3,간편과일,달콤한 배 컴포트
16,복숭아,8000,35,4,제철과일,여름철 제철 복숭아
17,자두,6000,45,4,제철과일,새콤달콤한 자두
18,체리,10000,25,4,제철과일,입안 가득한 체리
19,앙고,7000,30,4,제철과일,부드러운 식감의 앙고
20,무화과,9000,20,4,제철과일,영양가 풍부한 무화과
